Restaurant,Meal,MealType,ItemName,Calories,Protein,TotalFat,TotalCarbs,Sodium,SaturatedFat,TransFat,Cholesterol,Fiber,Sugar
McDonald's,Side,Side,Apple Slices,15,0,0,4,0,0,0,0,0,3
Wendy's,Salad,Salad,Garden Side Salad,20,1,0,4,30,0,0,0,2,2
McDonald's,Salad,Salad,Side Salad,20,1,0,4,10,0,0,0,1,2
Burger King,Side,Side,Apple Slices,25,0,0,6,0,0,0,0,1,5
Wendy's,Side,Side,Apple Slices,40,0,0,9,0,0,0,0,2,7
McDonald's,Dessert,Dessert,Kiddie Cone,45,1,2,7,20,1,0,5,0,6
Wendy's,Salad,Salad,Caesar Side Salad,60,4,4,4,70,3,0,10,2,1
McDonald's,Salad,Salad,Premium Caesar Salad (without chicken),90,7,4,9,180,3,0,10,3,4
McDonald's,Side,Side,Kids Fries,100,1,5,13,70,1,0,0,1,0
McDonald's,Salad,Salad,Premium Bacon Ranch Salad (without chicken),140,9,7,10,300,4,0,25,3,4
McDonald's,Salad,Salad,Premium Southwest Salad (without chicken),140,6,5,20,150,2,0,10,6,6
Wendy's,Breakfast,Breakfast,Steel-Cut Oatmeal with Summer Berries,140,4,2,31,190,0,0,0,3,11
Burger King,Breakfast,Breakfast,Quaker Oatmeal Original,140,5,4,23,100,1,0,5,3,1
White Castle ,Burgers/Sandwiches,Burger,The Original Slider,140,7,6,13,360,2.5,0.5,10,1,1
Burger King,Dessert,Dessert,Soft Serve Cup,140,4,4,23,125,3,0,15,0,19
White Castle ,Breakfast,Breakfast,Wheat Toast,140,4,2,28,300,0,0,0,2,4
Wendy's,Breakfast,Breakfast,"Steel-Cut Oatmeal, Plain",150,5,3,33,230,0,0,0,3,10
White Castle ,Breakfast,Breakfast,Powdered Sugar Donuts  ,150,2,8,22,160,4,0,0,1,10
McDonald's,Breakfast,Breakfast,Fruit n Yogurt Parfait,150,4,2,30,70,1,0,5,1,23
McDonald's,Dessert,Dessert,Oatmeal Raisin Cookie,150,2,6,22,135,3,0,10,1,13
Burger King,Side,Side,Onion Rings  value,150,1,8,19,400,2,0,0,1,2
White Castle ,Breakfast,Breakfast,Cinnamon Donuts  ,150,2,8,22,160,4,0,0,1,10
White Castle ,Breakfast,Breakfast,Plain Donuts  ,150,2,8,22,160,4,0,0,1,10
McDonald's,Breakfast,Breakfast,Hash Brown,150,1,9,15,310,2,0,0,2,0
Wendy's,Breakfast,Breakfast,Steel-Cut Oatmeal with Apples and Caramel,160,4,2,38,200,0,0,0,3,17
White Castle ,Breakfast,Breakfast,"Breakfast slider w/ Egg, Cheese",160,9,7,13,320,3,0,170,1,2
White Castle ,Breakfast,Breakfast,Maple & Brown Sugar Oatmeal ,160,4,2,32,230,0,0,0,3,9
White Castle ,Breakfast,Breakfast,Chocolate Covered Donuts  ,160,2,9,21,150,6,0,0,1,12
White Castle ,Dessert,Dessert,Oatmeal Raisin Cookie ,160,2,6,23,115,2.5,0,10,1,12
White Castle ,Burgers/Sandwiches,Burger,Jalapeno Cheese Slider,160,8,9,14,460,4,0.5,15,1,2
McDonald's,Dessert,Dessert,Chocolate Chip Cookie,160,2,8,21,90,4,0,10,1,15
Burger King,Dessert,Dessert,Soft Serve Cone,160,4,4,27,130,3,0,15,0,20
McDonald's,Dessert,Dessert,Vanilla Reduced Fat Ice Cream Cone,170,5,5,27,70,3,0,15,0,20
Wendy's,Burgers/Sandwiches,Chicken,4-Piece Spicy Chicken Nuggets,170,10,11,9,500,3,0,30,1,0
White Castle ,Dessert,Dessert,Chocolate Chunk Cookie ,170,2,8,23,130,4,0,10,1,13
White Castle ,Burgers/Sandwiches,Burger,Cheese Slider,170,8,9,15,550,4,0.5,15,1,3
Burger King,Breakfast,Breakfast,Kids Oatmeal,170,4,4,32,260,2,0,5,3,9
White Castle ,Burgers/Sandwiches,Chicken,Savory Grilled Chicken Slider  Plain,180,15,7,13,570,1.5,1,40,1,2
